ID Réponse,Date,Phase,Type de territoire,Arrondissement / Ville liée,Statut du commerce,Enjeux: Soutien financier?,Enjeux: Maintien des opérations?,Enjeux: Fiscalité (taxes et impôts)?,Enjeux: Ressources humaines?,Enjeux: Réglementation?,Enjeux: Marketing?,Enjeux: Santé et sécurité?,Enjeux: Recherche d'équipement sanitaire?,Enjeux: Aménagement de l'espace?,Enjeux: Permis pour les terrasses extérieures?,Enjeux: Autre?,Intérêt pour le programme d'aide d'urgence?,Présence sur les médias sociaux?,Présence sur Facebook?,Présence sur Twitter?,Présence sur Instagram?,Présence sur LinkedIn?,Faites-vous de la vente en ligne?,Canal de vente en ligne,Connaissez-vous le service de livraison urbaine?,Êtes-vous intéressé par le service de livraison urbaine?,Intérêt pour le programme d'accompagnement pour le virage numérique des entreprises?,Offrez-vous un service de livraison?,Êtes-vous satisfait de votre service de livraison actuel?,Seriez-vous intéressé par le service de livraison urbain (à vélo) mise en place par la Ville de Montréal et ses partenaires si vous si aviez accès?,Est-ce que l'information que nous vous avons donnée vous a été utile?
685,2020-06-10,2,Arrondissement,LaSalle,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
686,2020-06-10,2,Arrondissement,Saint-Léonard,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
687,2020-06-10,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Sans réponse,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
688,2020-06-10,2,Ville liée,Pointe-Claire,Ouvert,Oui,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
689,2020-06-10,2,Ville liée,Dorval,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
690,2020-06-10,2,Arrondissement,Saint-Léonard,Ouvert,,,,Oui,,,Oui,,,,Oui,Non,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
691,2020-06-10,2,Arrondissement,Saint-Léonard,Fermé,Oui,,,,,,,,,,Oui,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
692,2020-06-10,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
693,2020-06-10,2,Arrondissement,Saint-Laurent,Ouvert,Oui,,Oui,,,Oui,,,,,,Oui,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
694,2020-06-10,2,Arrondissement,LaSalle,Ouvert,Oui,,Oui,,,Oui,,,Oui,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
695,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Statut inconnu,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
696,2020-06-11,2,Ville liée,Westmount,Ouvert,,,,,,,,,,,,Non,Sans réponse,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
697,2020-06-11,2,Arrondissement,Saint-Léonard,Fermé,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
698,2020-06-11,2,Arrondissement,Saint-Laurent,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
699,2020-06-11,2,Arrondissement,LaSalle,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
700,2020-06-11,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
701,2020-06-11,2,Arrondissement,Saint-Laurent,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
702,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
703,2020-06-11,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
704,2020-06-11,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
705,2020-06-11,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,,,Oui,,,,Oui,Sans réponse,,,,,Oui,Site transactionnel,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
706,2020-06-11,2,Arrondissement,Pierrefonds-Roxboro,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
707,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
708,2020-06-11,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Statut inconnu,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
709,2020-06-11,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
710,2020-06-11,2,Arrondissement,Ville-Marie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Réponse inconnue,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
711,2020-06-12,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,Oui,,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
712,2020-06-12,2,Arrondissement,Pierrefonds-Roxboro,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
713,2020-06-12,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
714,2020-06-12,2,Arrondissement,Saint-Laurent,Ouvert,Oui,,,,,,,,,,,Sans réponse,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
715,2020-06-12,2,Arrondissement,LaSalle,Fermé,Oui,Oui,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
716,2020-06-12,2,Arrondissement,Saint-Léonard,Ouvert,Oui,Oui,Oui,,,,Oui,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
717,2020-06-12,2,Arrondissement,Saint-Léonard,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
718,2020-06-12,2,Ville liée,Dorval,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
719,2020-06-12,2,Arrondissement,Saint-Léonard,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
720,2020-06-12,2,Arrondissement,LaSalle,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
721,2020-06-12,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
722,2020-06-12,2,Arrondissement,Ville-Marie,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
723,2020-06-12,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
724,2020-06-12,2,Arrondissement,Saint-Léonard,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
725,2020-06-12,2,Arrondissement,Saint-Laurent,Fermé,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
726,2020-06-12,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,Oui,,,Oui,Oui,,Oui,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
727,2020-06-12,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,Oui,,,,,,,,,Oui,Non,,,,,Non,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
728,2020-06-12,2,Ville liée,Mont-Royal,Fermé,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
729,2020-06-12,2,Arrondissement,LaSalle,Ouvert,,,,,,,,,,,Oui,Non,Non,,,,,Non,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
730,2020-06-15,2,Arrondissement,Montréal-Nord,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
731,2020-06-15,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
732,2020-06-15,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
733,2020-06-15,2,Arrondissement,Anjou,Ouvert,Oui,,Oui,,Oui,,Oui,,,,,Oui,Oui,,,Oui,,Oui,"Via un tiers (ex. : Amazon, Wayfair, Uber Eats, etc.)",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
734,2020-06-15,2,Arrondissement,Anjou,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
735,2020-06-15,2,Ville liée,Kirkland,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
736,2020-06-15,2,Arrondissement,Saint-Laurent,Ouvert,,,,,,,Oui,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
737,2020-06-15,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
738,2020-06-15,2,Arrondissement,LaSalle,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
739,2020-06-15,2,Arrondissement,Ville-Marie,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
740,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,Oui,,,,,Non,Oui,Oui,Oui,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
741,2020-06-15,2,Ville liée,Westmount,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
742,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
743,2020-06-15,2,Ville liée,Dollard-des-Ormeaux,Ouvert,Oui,,Oui,,,Oui,Oui,,Oui,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Oui,Je l'utilise déjà,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
744,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
745,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
746,2020-06-15,2,Arrondissement,Ville-Marie,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
747,2020-06-15,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,,,,,,,,,,Sans réponse,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
748,2020-06-15,2,Arrondissement,LaSalle,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
749,2020-06-15,2,Arrondissement,Ville-Marie,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
750,2020-06-15,2,Arrondissement,Pierrefonds-Roxboro,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
751,2020-06-15,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
752,2020-06-15,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,Oui,Oui,Oui,,,Oui,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
753,2020-06-16,2,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
754,2020-06-16,2,Ville liée,Pointe-Claire,Ouvert,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
755,2020-06-16,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
756,2020-06-16,2,Arrondissement,Montréal-Nord,Statut inconnu,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Réponse inconnue,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
757,2020-06-16,2,Arrondissement,Saint-Léonard,Ouvert,,,,,,,,,,,,Sans réponse,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
758,2020-06-16,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,,,,,,,Oui,Oui,,,Oui,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
759,2020-06-16,2,Ville liée,Kirkland,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
760,2020-06-16,2,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
761,2020-06-16,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Fermé,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
762,2020-06-16,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,Oui,,,Oui,,,Oui,,Oui,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
763,2020-06-16,2,Ville liée,Montréal-Ouest,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Oui,Site transactionnel,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
764,2020-06-16,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Fermé,Oui,,Oui,Oui,,Oui,Oui,,Oui,,Oui,Non,Sans réponse,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
765,2020-06-16,2,Arrondissement,Montréal-Nord,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
766,2020-06-16,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,Oui,Oui,,,,Oui,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
767,2020-06-16,2,Ville liée,Westmount,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
768,2020-06-16,2,Arrondissement,Ville-Marie,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
769,2020-06-16,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
770,2020-06-16,2,Arrondissement,Mercier-Hochelaga-Maisonneuve,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
771,2020-06-16,2,Arrondissement,Ville-Marie,Partiellement ouvert,Oui,Oui,,,,Oui,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Réponse inconnue,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
772,2020-06-16,2,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
773,2020-06-16,2,Ville liée,Dorval,Partiellement ouvert,Oui,Oui,Oui,,,,,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
774,2020-06-16,2,Ville liée,Dorval,Partiellement ouvert,Oui,Oui,,Oui,,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
